net,length_um
u_decod.rf_ff_rd_adr_q_i\[0\],81.66
net230,81.575
_01443_,81.395
net325,81.39
net63,81.3
u_decod.dec0.instr_i\[15\],81.28
net227,81.21
net158,81.16
net332,81.06
net450,81.02
_02337_,80.99
_01405_,80.88
_02730_,80.88
u_rf.reg0_q\[12\],80.85
_04761_,80.72
clknet_leaf_103_clk,80.64
u_rf.reg10_q\[8\],80.565
clknet_leaf_27_clk,80.46
net328,80.44
_04962_,80.4
u_rf.reg31_q\[16\],80.17
net146,80.12
clknet_leaf_116_clk,80.12
u_rf.reg3_q\[2\],80.06
u_rf.reg6_q\[18\],79.97
_04451_,79.94
u_decod.pc_q_o\[23\],79.94
u_rf.reg2_q\[15\],79.82
u_rf.reg4_q\[9\],79.79
clknet_leaf_71_clk,79.78
_04941_,79.68
_01081_,79.66
u_rf.reg6_q\[8\],79.66
u_rf.reg3_q\[8\],79.62
u_rf.reg17_q\[9\],79.52
u_rf.reg22_q\[2\],79.34
clknet_leaf_31_clk,79.26
u_decod.dec0.instr_i\[16\],79.22
clknet_leaf_117_clk,79.2
u_rf.reg29_q\[28\],79.14
u_rf.reg30_q\[8\],78.9
_01987_,78.79
_04736_,78.76
u_rf.reg2_q\[4\],78.655
net263,78.52
u_decod.rs1_data_q\[19\],78.44
u_rf.reg1_q\[1\],78
clknet_leaf_79_clk,77.98
u_rf.reg8_q\[8\],77.86
net362,77.71
clknet_leaf_136_clk,77.55
_01450_,77.52
u_rf.reg6_q\[12\],77.46
_03039_,77.36
u_rf.reg5_q\[8\],77.22
_02695_,77.2
net72,77.145
clknet_leaf_115_clk,77.09
net126,77.04
_01830_,76.92
net319,76.88
_02344_,76.8
net256,76.72
net518,76.68
clknet_leaf_26_clk,76.6
_05693_,76.24
net215,76.2
_04778_,76.1
_05114_,76.095
u_rf.reg5_q\[19\],76.065
net321,76.03
net207,76.01
_04467_,75.98
u_rf.reg2_q\[19\],75.88
_04423_,75.86
net307,75.85
_03379_,75.8
u_decod.pc_q_o\[20\],75.76
u_rf.reg8_q\[9\],75.72
clknet_leaf_91_clk,75.72
u_rf.reg17_q\[20\],75.68
_01757_,75.515
_04780_,75.46
net123,75.46
clknet_leaf_102_clk,75.42
_04459_,75.26
u_rf.reg4_q\[7\],75.135
net202,74.95
_01457_,74.92
u_decod.branch_imm_q_o\[0\],74.895
clknet_leaf_106_clk,74.86
u_rf.reg8_q\[4\],74.855
u_rf.reg0_q\[8\],74.78
clknet_leaf_48_clk,74.76
_02294_,74.68
u_rf.reg2_q\[12\],74.625
u_rf.reg30_q\[6\],74.42
u_rf.reg30_q\[9\],74.3
u_decod.exe_ff_res_data_i\[16\],73.98
net352,73.77
_03205_,73.74
_01968_,73.54
_01532_,73.5
u_rf.reg10_q\[7\],73.47
u_rf.reg9_q\[15\],73.445
u_decod.exe_ff_res_data_i\[25\],73.42
_01058_,73.34
net118,73.34
_03172_,73.32
u_rf.reg27_q\[31\],73.22
_02395_,73.12
net29,73.08
u_rf.reg3_q\[1\],72.88
u_rf.reg2_q\[8\],72.685
_01484_,72.645
u_decod.dec0.instr_i\[4\],72.53
_01299_,72.4
_01324_,72.34
net77,72.315
clknet_leaf_124_clk,72.28
_02742_,72.12
clknet_leaf_90_clk,72.1
clknet_leaf_2_clk,72.08
u_rf.reg3_q\[4\],72.04
u_rf.reg11_q\[1\],72
u_rf.reg13_q\[4\],71.82
net342,71.77
u_rf.reg1_q\[4\],71.76
_03173_,71.72
u_rf.reg26_q\[8\],71.7
_03170_,71.69
u_rf.reg31_q\[11\],71.63
u_rf.reg4_q\[1\],71.605
clknet_leaf_85_clk,71.5
clknet_leaf_60_clk,71.36
u_rf.reg8_q\[15\],71.28
u_rf.reg4_q\[15\],71.23
_04453_,71.16
_01490_,71.03
_01075_,71.02
_04436_,71.02
u_rf.reg26_q\[6\],70.995
_02402_,70.98
net20,70.96
u_rf.reg10_q\[5\],70.76
u_rf.reg5_q\[18\],70.745
clknet_leaf_105_clk,70.74
_03171_,70.735
net462,70.7
clknet_leaf_50_clk,70.54
net240,70.4
clknet_leaf_120_clk,70.34
u_rf.reg28_q\[31\],70.3
u_rf.reg8_q\[12\],70.28
u_decod.rf_ff_res_data_i\[5\],70.24
u_exe.branch_v,70.24
u_rf.reg11_q\[26\],70.225
u_rf.reg5_q\[1\],70.2
net312,70.13
u_rf.reg17_q\[23\],70.12
_02736_,70.06
u_decod.pc_q_o\[24\],69.9
u_rf.reg18_q\[26\],69.8
u_rf.reg12_q\[18\],69.795
u_rf.reg13_q\[8\],69.71
u_decod.dec0.funct3\[1\],69.63
_03209_,69.49
_02355_,69.42
u_rf.reg4_q\[18\],69.415
_01819_,69.36
u_rf.reg1_q\[8\],69.1
u_rf.reg28_q\[21\],69.06
_01990_,69.04
u_rf.reg11_q\[7\],68.955
u_decod.branch_imm_q_o\[22\],68.875
clknet_leaf_134_clk,68.7
clknet_leaf_109_clk,68.68
_02640_,68.66
_01322_,68.5
u_rf.reg7_q\[19\],68.325
_01461_,68.25
u_rf.reg1_q\[7\],68
u_rf.reg26_q\[30\],67.86
net154,67.8
u_rf.reg26_q\[5\],67.71
u_rf.reg6_q\[4\],67.61
u_rf.reg15_q\[16\],67.56
net365,67.54
clknet_leaf_62_clk,67.44
u_rf.reg30_q\[7\],67.38
clknet_leaf_135_clk,67.38
_02305_,67.36
net345,67.35
_03895_,67.18
u_rf.reg25_q\[30\],67.105
u_rf.reg9_q\[1\],67.1
clknet_leaf_114_clk,67.04
u_rf.reg9_q\[7\],67.02
_04953_,66.98
u_rf.reg25_q\[25\],66.98
clknet_leaf_93_clk,66.98
u_decod.exe_ff_res_data_i\[6\],66.96
u_rf.reg0_q\[7\],66.92
u_decod.rf_ff_res_data_i\[29\],66.9
_04964_,66.66
net144,66.62
u_rf.reg4_q\[19\],66.46
u_rf.reg15_q\[4\],66.405
u_rf.reg21_q\[21\],66.265
u_rf.reg21_q\[25\],66.145
u_rf.reg6_q\[15\],66.12
u_decod.rs2_data_q\[21\],66.1
clknet_leaf_18_clk,66.02
_01241_,65.74
u_rf.reg29_q\[8\],65.66
u_decod.rs2_data_q\[6\],65.54
u_rf.reg6_q\[7\],65.52
net128,65.52
net115,65.5
net285,65.41
u_rf.reg24_q\[6\],65.38
clknet_leaf_96_clk,65.38
u_rf.reg2_q\[18\],65.33
net13,65.22
u_rf.reg24_q\[8\],65.215
u_rf.reg0_q\[4\],65.14
u_rf.reg21_q\[30\],65.12
_01942_,65.08
_04177_,64.94
clknet_leaf_40_clk,64.91
u_rf.reg27_q\[21\],64.905
_01573_,64.88
u_decod.exe_ff_rd_adr_q_i\[3\],64.88
u_decod.rs1_data_q\[17\],64.88
clknet_leaf_52_clk,64.82
u_rf.reg5_q\[15\],64.68
net235,64.67
_01071_,64.57
u_rf.reg13_q\[10\],64.24
u_rf.reg17_q\[8\],64.22
u_rf.reg13_q\[21\],64.18
_02417_,64.04
net25,64
u_rf.reg21_q\[18\],63.98
_02085_,63.92
u_rf.reg17_q\[5\],63.84
_04465_,63.74
net329,63.73
_02540_,63.72
_03497_,63.68
u_rf.reg22_q\[8\],63.62
net111,63.44
_03096_,63.4
net127,63.36
u_rf.reg1_q\[28\],63.33
net119,63.3
net222,63.24
net206,63.18
u_decod.exe_ff_res_data_i\[22\],63.08
clknet_leaf_73_clk,63.08
u_rf.reg27_q\[1\],62.925
u_rf.reg9_q\[12\],62.905
u_rf.reg9_q\[30\],62.9
_02051_,62.82
_02175_,62.78
_02541_,62.61
_01098_,62.58
u_decod.rs2_data_q\[13\],62.48
clknet_leaf_129_clk,62.48
net259,62.43
u_rf.reg8_q\[19\],62.38
net161,62.32
u_rf.reg0_q\[18\],62.2
u_rf.reg10_q\[15\],62.185
u_rf.reg12_q\[15\],62.185
_02685_,62.06
u_rf.reg31_q\[4\],62.02
clknet_leaf_39_clk,61.98
u_rf.reg9_q\[4\],61.94
_02715_,61.92
_02451_,61.88
_01547_,61.82
u_rf.reg18_q\[18\],61.8
u_rf.reg23_q\[8\],61.785
_01227_,61.78
net313,61.78
_02095_,61.69
u_rf.reg29_q\[7\],61.63
u_rf.reg15_q\[25\],61.58
_02671_,61.56
u_rf.reg29_q\[27\],61.365
net490,61.34
_02049_,61.095
u_rf.reg2_q\[29\],61.075
net272,61.01
_03584_,60.94
u_decod.dec0.instr_i\[5\],60.94
u_rf.reg4_q\[8\],60.9
u_rf.reg13_q\[30\],60.81
u_rf.reg24_q\[18\],60.8
_01529_,60.78
_02860_,60.74
_02047_,60.725
u_rf.reg23_q\[5\],60.665
clknet_leaf_45_clk,60.66
u_decod.pc_q_o\[25\],60.62
net85,60.52
net148,60.46
u_rf.reg10_q\[12\],60.27
_01511_,60.26
u_rf.reg14_q\[25\],60.245
u_rf.reg9_q\[9\],60.225
u_decod.dec0.instr_i\[18\],60.17
u_rf.reg19_q\[25\],60.165
_02449_,60.16
_01923_,60.1
_01290_,60.06
u_rf.reg9_q\[2\],60
_01873_,59.96
u_rf.reg12_q\[12\],59.925
_02002_,59.86
u_rf.reg17_q\[21\],59.82
u_rf.reg6_q\[14\],59.78
clknet_leaf_37_clk,59.78
u_rf.reg3_q\[15\],59.7
u_rf.reg17_q\[18\],59.68
u_decod.pc0_q_i\[27\],59.66
u_rf.reg10_q\[19\],59.585
net295,59.57
_01960_,59.51
_02499_,59.49
net455,59.38
net249,59.3
u_rf.reg0_q\[24\],59.28
u_rf.reg25_q\[15\],59.275
net83,59.125
clknet_leaf_82_clk,58.98
u_rf.reg2_q\[11\],58.88
u_rf.reg1_q\[19\],58.85
u_rf.reg29_q\[23\],58.805
u_decod.rf_ff_res_data_i\[24\],58.8
u_rf.reg26_q\[31\],58.8
u_rf.reg21_q\[8\],58.755
u_rf.reg14_q\[8\],58.72
u_rf.reg5_q\[24\],58.62
u_rf.reg1_q\[15\],58.54
u_rf.reg30_q\[11\],58.525
u_rf.reg7_q\[1\],58.5
net84,58.5
u_decod.exe_ff_res_data_i\[17\],58.48
_02394_,58.46
clknet_leaf_80_clk,58.395
net167,58.3
u_rf.reg15_q\[21\],58.265
u_rf.reg15_q\[28\],58.205
u_rf.reg6_q\[5\],58.18
clknet_leaf_81_clk,58.14
_01177_,58.04
_01515_,58.04
u_decod.pc0_q_i\[3\],57.9
u_rf.reg0_q\[11\],57.82
net120,57.82
clknet_leaf_139_clk,57.8
u_rf.reg17_q\[19\],57.795
u_rf.reg9_q\[29\],57.79
u_rf.reg1_q\[12\],57.71
_04236_,57.64
u_rf.reg13_q\[20\],57.6
_01479_,57.55
_02052_,57.38
clknet_leaf_110_clk,57.38
u_rf.reg18_q\[9\],57.325
u_rf.reg23_q\[30\],57.32
u_rf.reg29_q\[20\],57.26
_03476_,57.16
u_rf.reg14_q\[1\],57.125
_01159_,57.1
_02861_,57.08
_02543_,57.03
net225,57.01
_02253_,56.9
u_rf.reg5_q\[4\],56.9
net74,56.8
u_rf.reg10_q\[4\],56.78
_01697_,56.74
_02453_,56.66
u_decod.branch_imm_q_o\[1\],56.52
u_rf.reg10_q\[9\],56.515
_01387_,56.48
u_rf.reg15_q\[22\],56.44
u_rf.reg29_q\[1\],56.42
_03997_,56.3
u_rf.reg29_q\[4\],56.185
_02676_,56.16
u_decod.dec0.operation_o\[2\],56.16
u_rf.reg21_q\[20\],56.145
_03142_,56.14
u_rf.reg13_q\[26\],56.14
u_decod.rs2_data_q\[23\],56.06
u_rf.reg25_q\[12\],56.035
u_rf.reg1_q\[18\],56.02
u_rf.reg22_q\[23\],56
u_rf.reg28_q\[30\],55.945
u_rf.reg6_q\[19\],55.9
u_decod.exe_ff_res_data_i\[15\],55.895
u_rf.reg19_q\[20\],55.745
_03995_,55.74
u_rf.reg25_q\[31\],55.74
_03162_,55.7
net442,55.68
_01487_,55.555
_03201_,55.54
u_decod.instr_unit_q\[0\],55.5
u_rf.reg0_q\[29\],55.49
u_decod.exe_ff_res_data_i\[8\],55.48
_01370_,55.4
net4,55.34
net109,55.26
_02013_,55.18
_02186_,55.14
_02783_,55.14
u_rf.reg31_q\[30\],55.14
u_rf.reg20_q\[6\],55
u_rf.reg23_q\[7\],54.965
u_rf.reg4_q\[12\],54.96
u_rf.reg6_q\[20\],54.94
_01688_,54.92
net108,54.9
clknet_leaf_33_clk,54.9
_01743_,54.84
_02635_,54.8
u_rf.reg11_q\[27\],54.785
net268,54.78
net152,54.7
net448,54.7
u_rf.reg28_q\[20\],54.68
u_rf.reg26_q\[29\],54.6
clknet_leaf_63_clk,54.565
_02356_,54.54
u_rf.reg4_q\[4\],54.5
u_decod.rs2_data_q\[25\],54.36
net347,54.35
_01234_,54.31
_01090_,54.26
net153,54.26
u_rf.reg17_q\[25\],54.195
_02812_,54.18
u_rf.reg26_q\[14\],54.18
_01802_,54.12
u_rf.reg1_q\[11\],54.1
u_rf.reg7_q\[9\],54.08
u_rf.reg24_q\[4\],53.99
clknet_leaf_41_clk,53.84
u_rf.reg29_q\[26\],53.835
_01489_,53.8
net150,53.68
u_rf.reg28_q\[25\],53.64
u_rf.reg31_q\[25\],53.58
_01566_,53.54
_01392_,53.42
_02689_,53.42
_03124_,53.42
u_rf.reg10_q\[11\],53.42
u_rf.reg26_q\[25\],53.42
u_rf.reg5_q\[12\],53.42
_03198_,53.34
u_rf.reg8_q\[14\],53.34
u_rf.reg26_q\[18\],53.32
u_decod.rf_ff_rd_adr_q_i\[1\],53.3
u_decod.rs1_data_q\[10\],53.3
_01113_,53.18
_02537_,53.16
_01497_,53.12
_03204_,53.075
u_rf.reg28_q\[29\],53.07
u_rf.reg24_q\[15\],52.975
u_rf.reg18_q\[31\],52.97
u_rf.reg24_q\[19\],52.925
_01283_,52.85
_02722_,52.84
u_rf.reg7_q\[25\],52.84
u_rf.reg4_q\[5\],52.795
u_decod.rs2_data_q\[12\],52.7
u_rf.reg15_q\[7\],52.68
u_rf.reg1_q\[14\],52.68
_02681_,52.64
u_rf.reg3_q\[12\],52.62
_01074_,52.51
u_rf.reg23_q\[1\],52.495
_02063_,52.46
_01277_,52.44
_01383_,52.42
u_rf.reg30_q\[23\],52.42
u_rf.reg7_q\[6\],52.4
_02993_,52.38
_02198_,52.335
net103,52.3
u_decod.dec0.funct3\[0\],52.28
net409,52.26
_03870_,52.155
_02642_,52.12
clknet_leaf_75_clk,52.12
u_rf.reg12_q\[19\],52.09
_01263_,52.085
_01503_,52.08
u_rf.reg19_q\[24\],52.025
_01551_,52.02
u_rf.reg1_q\[30\],52.02
u_rf.reg9_q\[18\],52.02
_01514_,51.97
u_rf.reg23_q\[19\],51.97
u_rf.reg27_q\[8\],51.96
_01452_,51.92
u_rf.reg15_q\[27\],51.915
u_rf.reg21_q\[26\],51.915
_01186_,51.835
u_rf.reg12_q\[5\],51.82
u_rf.reg3_q\[18\],51.76
clknet_leaf_97_clk,51.74
_01558_,51.705
net107,51.64
_02497_,51.62
u_rf.reg8_q\[18\],51.545
u_rf.reg27_q\[3\],51.52
u_decod.exe_ff_rd_adr_q_i\[2\],51.5
u_rf.reg14_q\[9\],51.46
_01826_,51.4
u_rf.reg21_q\[6\],51.36
u_rf.reg2_q\[24\],51.325
_01521_,51.3
u_decod.dec0.instr_i\[17\],51.26
u_rf.reg18_q\[30\],51.26
u_rf.reg11_q\[11\],51.215
u_decod.branch_imm_q_o\[28\],51.195
u_decod.branch_imm_q_o\[24\],51.14
u_decod.rf_ff_res_data_i\[30\],51.12
_03165_,51.06
u_rf.reg15_q\[8\],51.04
u_rf.reg18_q\[6\],50.96
net464,50.92
u_decod.exe_ff_res_data_i\[28\],50.9
net218,50.87
u_rf.reg10_q\[26\],50.765
u_rf.reg23_q\[28\],50.76
u_decod.pc0_q_i\[15\],50.715
u_rf.reg20_q\[25\],50.66
u_rf.reg30_q\[4\],50.63
_02585_,50.52
u_rf.reg3_q\[23\],50.5
_01915_,50.48
_02192_,50.46
u_decod.rs1_data_q\[16\],50.46
_02718_,50.32
u_rf.reg4_q\[6\],50.16
u_decod.rs2_data_q\[19\],50.12
u_rf.reg22_q\[18\],50.055
u_rf.reg18_q\[15\],50.05
u_rf.reg9_q\[8\],49.96
_01316_,49.94
u_rf.reg25_q\[2\],49.845
u_rf.reg21_q\[4\],49.815
u_rf.reg13_q\[25\],49.74
_01168_,49.58
_02810_,49.56
u_rf.reg31_q\[31\],49.52
_01459_,49.5
_02646_,49.445
u_rf.reg23_q\[27\],49.445
u_rf.reg21_q\[12\],49.365
_02090_,49.34
u_decod.pc0_q_i\[9\],49.32
u_rf.reg15_q\[1\],49.3
_02791_,49.24
u_rf.reg13_q\[11\],49.24
u_rf.reg16_q\[1\],49.24
u_rf.reg20_q\[15\],49.2
u_rf.reg6_q\[2\],49.2
u_decod.branch_imm_q_o\[26\],49.18
u_rf.reg10_q\[30\],49.18
net315,49.18
u_rf.reg11_q\[13\],49.08
_01329_,49
u_rf.reg29_q\[24\],48.97
u_rf.reg13_q\[7\],48.96
u_rf.reg22_q\[28\],48.865
net456,48.84
u_rf.reg31_q\[7\],48.82
u_rf.reg28_q\[0\],48.805
_01488_,48.8
u_rf.reg31_q\[8\],48.8
_02054_,48.78
u_rf.reg27_q\[28\],48.76
u_rf.reg27_q\[26\],48.745
u_rf.reg26_q\[17\],48.74
_02619_,48.72
u_rf.reg14_q\[28\],48.715
u_rf.reg29_q\[19\],48.68
u_rf.reg10_q\[22\],48.64
u_decod.branch_imm_q_o\[25\],48.62
_01535_,48.6
u_rf.reg16_q\[15\],48.56
_04424_,48.46
net212,48.43
u_rf.reg27_q\[23\],48.405
_01534_,48.36
u_decod.exe_ff_res_data_i\[18\],48.36
u_rf.reg11_q\[4\],48.34
u_rf.reg29_q\[9\],48.32
u_rf.reg5_q\[11\],48.32
u_rf.reg7_q\[7\],48.3
u_rf.reg15_q\[20\],48.285
u_rf.reg27_q\[13\],48.285
net303,48.27
_01751_,48.22
u_rf.reg19_q\[19\],48.2
_02138_,48.12
net214,48.12
u_rf.reg27_q\[25\],48.085
_02668_,48.06
u_rf.reg8_q\[23\],48.045
u_rf.reg27_q\[27\],48.04
u_rf.reg19_q\[22\],48.02
u_decod.pc_q_o\[15\],47.98
u_rf.reg13_q\[17\],47.96
_02643_,47.9
_02821_,47.9
u_rf.reg1_q\[29\],47.885
u_rf.reg19_q\[21\],47.875
u_rf.reg15_q\[3\],47.87
u_rf.reg15_q\[26\],47.86
u_rf.reg3_q\[19\],47.86
net81,47.86
u_decod.exe_ff_res_data_i\[19\],47.845
u_rf.reg27_q\[30\],47.825
u_decod.rf_ff_res_data_i\[31\],47.685
_02853_,47.68
net106,47.66
u_rf.reg27_q\[20\],47.62
u_exe.bu_pc_res\[6\],47.6
u_decod.pc_q_o\[29\],47.56
net6,47.52
u_rf.reg7_q\[21\],47.46
u_decod.rs2_data_q\[7\],47.44
_01330_,47.405
_02446_,47.34
_02903_,47.34
_01577_,47.24
_02413_,47.24
net92,47.24
u_rf.reg25_q\[18\],47.18
_03088_,47.17
u_rf.reg0_q\[2\],47.16
_04568_,47.145
u_rf.reg1_q\[10\],47.12
net91,47
u_rf.reg26_q\[7\],46.94
u_rf.reg7_q\[8\],46.92
u_rf.reg27_q\[18\],46.9
net78,46.9
_01323_,46.82
_03079_,46.78
u_rf.reg22_q\[22\],46.735
u_rf.reg21_q\[31\],46.56
u_decod.rs2_data_q\[24\],46.5
clknet_leaf_138_clk,46.5
_02675_,46.48
u_rf.reg5_q\[29\],46.475
u_rf.reg6_q\[11\],46.46
_04183_,46.375
u_rf.reg20_q\[30\],46.32
_02110_,46.1
_02044_,46.04
u_rf.reg16_q\[25\],46.04
u_rf.reg21_q\[1\],46.01
u_decod.pc0_q_i\[7\],45.98
_02765_,45.96
u_rf.reg21_q\[15\],45.945
_02618_,45.94
u_decod.rf_ff_rd_adr_q_i\[4\],45.8
u_decod.branch_imm_q_o\[29\],45.735
u_rf.reg23_q\[23\],45.68
net242,45.66
u_rf.reg10_q\[1\],45.62
_03254_,45.58
u_rf.reg24_q\[7\],45.55
_03199_,45.48
u_rf.reg19_q\[12\],45.465
_01472_,45.455
u_rf.reg10_q\[25\],45.445
u_rf.reg4_q\[11\],45.42
_02350_,45.3
u_rf.reg13_q\[5\],45.3
u_rf.reg12_q\[8\],45.245
u_decod.branch_imm_q_o\[27\],45.24
u_rf.reg8_q\[20\],45.205
_02483_,45.2
u_rf.reg18_q\[8\],45.17
_01307_,45.16
u_rf.reg25_q\[10\],45.12
_01774_,45.1
net350,45.1
u_rf.reg23_q\[9\],45.065
net73,45.06
u_rf.reg19_q\[11\],45.05
_02384_,45.04
_04194_,45.02
u_rf.reg23_q\[4\],44.935
u_decod.exe_ff_res_data_i\[31\],44.92
u_rf.reg18_q\[19\],44.88
clknet_leaf_86_clk,44.84
u_rf.reg18_q\[12\],44.8
clknet_leaf_133_clk,44.78
u_rf.reg17_q\[15\],44.7
_01321_,44.645
u_rf.reg10_q\[2\],44.63
u_rf.reg24_q\[9\],44.6
u_decod.pc_q_o\[28\],44.58
u_rf.reg26_q\[28\],44.58
_04186_,44.54
u_decod.dec0.instr_i\[0\],44.53
u_rf.reg27_q\[4\],44.5
u_rf.reg28_q\[9\],44.46
u_rf.reg3_q\[11\],44.435
u_rf.reg24_q\[12\],44.415
clknet_leaf_126_clk,44.38
u_rf.reg20_q\[18\],44.34
_02137_,44.33
u_rf.reg23_q\[31\],44.28
_04187_,44.24
u_decod.rs2_data_q\[17\],44.24
_01339_,44.18
u_rf.reg26_q\[9\],44.18
net299,44.12
clknet_leaf_101_clk,44.08
u_rf.reg31_q\[1\],44.065
net356,44.04
_04135_,44.02
u_rf.reg28_q\[4\],44
net458,44
_01710_,43.88
_02102_,43.82
_02107_,43.82
u_rf.reg11_q\[16\],43.725
u_rf.reg3_q\[20\],43.6
_02168_,43.54
u_rf.reg20_q\[1\],43.52
u_rf.reg18_q\[5\],43.51
u_rf.reg30_q\[16\],43.48
_02118_,43.38
_02238_,43.36
u_rf.reg19_q\[3\],43.32
net470,43.28
u_decod.rs2_data_q\[15\],43.22
u_rf.reg31_q\[28\],43.22
_01094_,43.11
_01311_,43.1
u_rf.reg13_q\[27\],43.08
u_rf.reg30_q\[28\],43.08
_01494_,43.06
u_decod.pc_q_o\[14\],43.06
_01198_,43.05
u_rf.reg24_q\[25\],43.04
u_decod.pc0_q_i\[11\],43.02
u_rf.reg4_q\[26\],42.985
u_rf.reg10_q\[14\],42.96
u_rf.reg16_q\[18\],42.94
u_rf.reg16_q\[12\],42.935
_01426_,42.91
_02723_,42.86
net110,42.82
_01527_,42.805
u_rf.reg31_q\[23\],42.8
u_rf.reg11_q\[23\],42.76
_01272_,42.755
net457,42.68
u_rf.reg19_q\[23\],42.67
u_rf.reg21_q\[27\],42.58
u_decod.rs2_data_q\[26\],42.555
u_rf.reg26_q\[3\],42.515
u_rf.reg14_q\[4\],42.46
u_rf.reg3_q\[5\],42.46
u_rf.reg8_q\[29\],42.46
net282,42.44
u_rf.reg30_q\[27\],42.42
_03933_,42.36
net476,42.305
u_rf.reg22_q\[25\],42.3
net447,42.3
u_rf.reg12_q\[11\],42.285
u_rf.reg0_q\[6\],42.22
u_rf.reg27_q\[16\],42.215
u_rf.reg19_q\[1\],42.2
u_rf.reg7_q\[4\],42.18
u_rf.reg27_q\[15\],42.145
clknet_leaf_69_clk,42.12
u_rf.reg21_q\[24\],42.08
u_rf.reg24_q\[5\],42.04
u_rf.reg7_q\[31\],42.02
clknet_leaf_9_clk,42.02
_02201_,41.96
_01361_,41.94
_03309_,41.94
u_rf.reg28_q\[17\],41.94
_02876_,41.905
u_rf.reg14_q\[27\],41.84
u_decod.pc0_q_i\[18\],41.82
u_rf.reg13_q\[22\],41.795
_02392_,41.79
u_rf.reg22_q\[9\],41.79
u_decod.exe_ff_res_data_i\[9\],41.74
u_rf.reg26_q\[16\],41.74
_03874_,41.7
_03765_,41.68
u_rf.reg14_q\[7\],41.68
u_rf.reg28_q\[23\],41.58
u_rf.reg13_q\[13\],41.565
_01305_,41.54
_01086_,41.5
_02040_,41.5
_01093_,41.46
_02255_,41.46
u_rf.reg13_q\[28\],41.46
u_rf.reg7_q\[23\],41.36
u_decod.pc0_q_i\[24\],41.32
u_rf.reg20_q\[12\],41.32
net105,41.28
u_rf.reg24_q\[10\],41.245
u_rf.reg27_q\[7\],41.18
u_decod.rf_write_v_q_i,41.16
u_rf.reg22_q\[27\],41.145
_02622_,41.14
u_rf.reg0_q\[30\],41.12
_02972_,41.1
u_rf.reg7_q\[28\],41.095
u_rf.reg16_q\[4\],41.06
u_rf.reg29_q\[29\],40.965
u_rf.reg29_q\[13\],40.94
_02686_,40.9
u_rf.reg19_q\[15\],40.895
u_decod.pc0_q_i\[8\],40.86
u_rf.reg11_q\[0\],40.84
u_rf.reg8_q\[25\],40.81
_01341_,40.8
u_rf.reg20_q\[19\],40.78
_01465_,40.765
u_decod.branch_imm_q_o\[30\],40.74
u_rf.reg2_q\[10\],40.725
u_rf.reg13_q\[6\],40.72
_02848_,40.68
u_rf.reg7_q\[20\],40.675
u_rf.reg12_q\[20\],40.645
_01952_,40.62
u_rf.reg22_q\[7\],40.58
_02813_,40.56
u_rf.reg18_q\[0\],40.54
u_rf.reg28_q\[24\],40.525
u_rf.reg28_q\[8\],40.52
_01280_,40.48
u_rf.reg13_q\[16\],40.445
u_rf.reg29_q\[21\],40.405
_01391_,40.4
u_decod.pc0_q_i\[28\],40.4
u_rf.reg26_q\[13\],40.36
u_rf.reg25_q\[1\],40.3
u_decod.rs1_data_q\[18\],40.28
net28,40.24
net79,40.2
_02780_,40.12
u_rf.reg17_q\[13\],40.1
u_rf.reg20_q\[11\],39.96
u_rf.reg6_q\[17\],39.92
u_rf.reg14_q\[26\],39.72
_03701_,39.7
_01806_,39.66
_01996_,39.62
clknet_leaf_78_clk,39.54
u_rf.reg23_q\[25\],39.525
_03160_,39.5
u_rf.reg31_q\[27\],39.4
u_rf.reg2_q\[6\],39.385
u_rf.reg20_q\[9\],39.38
u_rf.reg22_q\[20\],39.365
u_rf.reg23_q\[16\],39.365
clknet_leaf_77_clk,39.35
_02789_,39.34
u_rf.reg22_q\[26\],39.12
_01153_,39.09
u_rf.reg14_q\[21\],39.08
net163,39.08
u_rf.reg2_q\[30\],39.075
u_rf.reg4_q\[29\],39.06
_01647_,39.04
u_rf.reg6_q\[29\],39.02
_01366_,38.94
_02128_,38.88
_01943_,38.82
net1,38.82
u_rf.reg15_q\[2\],38.765
_02839_,38.74
_02875_,38.74
u_rf.reg1_q\[24\],38.74
u_rf.reg18_q\[27\],38.7
u_rf.reg3_q\[30\],38.66
u_decod.pc0_q_i\[26\],38.58
u_rf.reg7_q\[26\],38.58
_01278_,38.48
clknet_leaf_72_clk,38.48
_02249_,38.46
_01078_,38.44
_01705_,38.44
u_rf.reg30_q\[30\],38.42
_03040_,38.415
u_rf.reg19_q\[28\],38.38
u_rf.reg31_q\[6\],38.32
u_rf.reg24_q\[20\],38.285
_02156_,38.28
u_rf.reg15_q\[23\],38.245
_01510_,38.24
u_decod.pc0_q_i\[2\],38.22
u_decod.pc0_q_i\[13\],38.18
u_rf.reg17_q\[2\],38.16
u_rf.reg16_q\[19\],38.14
u_rf.reg2_q\[5\],38.14
u_rf.reg25_q\[8\],38.085
u_rf.reg18_q\[3\],37.995
u_rf.reg9_q\[11\],37.98
_01911_,37.94
u_rf.reg7_q\[5\],37.92
u_rf.reg13_q\[3\],37.86
u_rf.reg17_q\[12\],37.86
_02304_,37.82
u_exe.bu_pc_res\[3\],37.68
_02623_,37.64
net27,37.64
net147,37.6
u_decod.rs2_data_q\[27\],37.58
_03962_,37.56
u_rf.reg30_q\[13\],37.5
u_rf.reg18_q\[23\],37.425
