net,length_um
net334,312.57
u_decod.rs1_data_q\[9\],311.68
_01267_,311.255
clknet_4_1_0_clk,306.75
_01435_,305.535
_03253_,305.42
_01302_,305.07
u_decod.rf_ff_res_data_i\[18\],304.805
_03709_,303.84
u_decod.instr_operation_q\[3\],303.44
_01079_,301.06
_01061_,300.15
clknet_4_12_0_clk,300.12
_01099_,298.85
u_decod.rs1_data_q\[11\],298.57
u_decod.rf_ff_res_data_i\[11\],298.515
u_decod.rs1_data_q\[28\],298.4
_01260_,295.8
u_decod.rf_ff_res_data_i\[15\],295.615
_02614_,294.98
_01380_,291.67
clknet_4_2_0_clk,291.02
_03178_,290.98
u_decod.rf_ff_res_data_i\[16\],290.745
u_decod.rf_ff_res_data_i\[19\],289.655
clknet_4_3_0_clk,287.26
u_decod.rs1_data_q\[30\],286.23
clknet_4_13_0_clk,285.95
net160,285.89
net338,285.63
_01764_,285.27
_01432_,282.3
u_decod.rf_ff_res_data_i\[12\],280.405
_01765_,280.17
_05512_,280.02
clknet_4_4_0_clk,279.49
_01224_,279.27
net56,278.56
u_decod.rs1_data_q\[7\],278.345
u_decod.rs1_data_q\[8\],277.875
u_decod.dec0.instr_i\[20\],276.2
net104,275.18
_03257_,274.55
_02484_,273.8
_01516_,272.66
_01550_,272.53
_04206_,269.845
_01206_,269.08
net48,268.34
_01292_,267.97
net53,266.4
_03237_,265.36
_01897_,265.08
_01297_,264.435
_01063_,263.51
net100,263.08
_01118_,263.015
_01485_,262.18
u_decod.rf_ff_res_data_i\[4\],261.12
_03222_,260.36
u_decod.rf_ff_res_data_i\[23\],259.12
net159,258.78
_01429_,257.995
_01289_,257.545
_03605_,257.5
net45,256.545
_05332_,255.91
_01648_,255.42
net99,255.18
clknet_4_11_0_clk,254.93
_02570_,254.33
u_decod.rf_ff_res_data_i\[20\],253.66
_02621_,251.935
clknet_4_0_0_clk,251.78
_01820_,251.27
_02204_,251.07
_02256_,250.97
_01773_,247.6
net3,245.24
_01629_,244.69
net367,244.45
_01119_,242.9
_04683_,241.91
_05656_,241.46
u_decod.pc0_q_i\[6\],241.02
_02223_,240.56
_01763_,239.07
_04646_,238.93
net52,236.475
_03235_,236.15
_02781_,236.03
_03236_,235.74
net162,235.27
_04721_,233.81
net177,233.46
_01144_,233.42
_02229_,233.28
net173,232.72
_03231_,232.23
_05548_,231.84
net50,231.63
clknet_4_15_0_clk,231.47
_01669_,230.89
_05368_,230.78
_03689_,230.47
net18,230.4
_02438_,229.08
net98,228.895
_05005_,228.59
net327,228.43
_04826_,227.75
_04197_,227.64
net42,227.235
net172,226.22
_03232_,225.04
u_decod.rf_ff_res_data_i\[17\],224.56
u_decod.dec0.funct7\[2\],223.18
_03771_,222.92
_03241_,222.7
_01142_,222.47
clknet_4_5_0_clk,222.36
_03606_,222.2
u_decod.rf_ff_res_data_i\[21\],221.295
net2,220.57
_03565_,220.56
